Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-A2-A0T6-01	0.00E+00	3.77E-01	7.42E-01	3.18E-01	5.25E-01	1.67E-01	3.77E-01	4.38E-01	5.52E-01	4.31E-01
TCGA-A2-A0T7-01	0.00E+00	3.41E-01	7.49E-01	4.22E-01	6.30E-01	4.33E-01	5.46E-01	5.61E-01	5.36E-01	4.58E-01
TCGA-A2-A0YC-01	2.67E-01	4.59E-01	5.28E-01	3.43E-01	5.92E-01	3.10E-01	7.11E-01	7.31E-01	5.94E-01	3.66E-01
TCGA-A2-A0YD-01	9.28E-01	1.48E+00	7.42E-01	1.65E+00	9.80E-01	2.81E-01	5.49E-01	7.83E-01	1.65E+00	6.96E-01
TCGA-A2-A0YE-01	5.37E-01	6.50E-01	8.19E-01	6.68E-01	7.41E-01	2.90E-01	7.99E-01	5.77E-01	6.87E-01	7.39E-01
TCGA-A2-A0YF-01	0.00E+00	2.74E-01	6.04E-01	6.77E-01	9.70E-01	1.53E-01	7.40E-01	9.13E-01	9.87E-01	9.39E-01
TCGA-A2-A0YG-01	1.94E-01	7.12E-01	1.12E+00	8.64E-01	1.42E+00	7.77E-01	1.11E+00	1.24E+00	1.07E+00	1.28E+00
TCGA-A2-A0YH-01	1.71E+00	9.51E-01	1.29E+00	1.14E+00	1.16E+00	1.00E-01	1.16E+00	1.31E+00	1.23E+00	7.19E-01
TCGA-A2-A0YI-01	1.66E-01	3.33E-02	2.83E-01	5.09E-01	3.88E-01	3.91E-01	2.87E-01	6.29E-01	5.46E-01	5.45E-01
TCGA-A2-A0YJ-01	5.21E-01	2.86E-01	1.44E+00	1.60E+00	1.50E+00	7.80E-01	2.08E+00	1.16E+00	1.06E+00	1.79E+00
TCGA-A2-A0YK-01	7.41E+00	5.25E+00	9.11E-01	8.00E+00	6.63E+00	4.25E-01	2.43E-01	8.32E-01	3.88E+00	1.14E+00
TCGA-A2-A0YL-01	6.73E-01	8.32E-01	5.88E-01	7.39E-01	5.69E-01	4.78E-01	3.05E-01	6.15E-01	6.73E-01	2.63E-01
TCGA-A2-A0YM-01	1.37E+00	1.19E+00	1.10E+00	1.28E+00	1.19E+00	7.05E-01	1.28E+00	1.12E+00	7.11E-01	1.15E+00
TCGA-A2-A0YT-01	1.99E-01	1.15E+00	1.06E+00	1.30E+00	7.09E-01	5.53E-01	1.25E+00	9.17E-01	1.41E+00	8.52E-01
TCGA-A2-A1FV-01	1.71E-01	6.76E-01	7.22E-01	6.62E-01	7.51E-01	4.52E-01	8.71E-01	1.14E+00	8.79E-01	5.20E-01
TCGA-A2-A1FW-01	6.27E-01	3.96E-01	1.51E+00	8.36E-01	1.71E+00	7.96E-01	1.04E+00	1.83E+00	1.58E+00	1.69E+00
TCGA-A2-A1FX-01	1.14E-01	2.60E-01	5.08E-01	6.41E-01	6.36E-01	2.57E-01	6.65E-01	4.05E-01	6.22E-01	6.60E-01
TCGA-A2-A1FZ-01	1.96E-01	3.03E-01	6.58E-01	5.80E-01	8.43E-01	6.93E-01	4.07E-01	7.25E-01	3.68E-01	5.78E-01
TCGA-A2-A1G0-01	6.67E-02	4.13E-01	3.06E-01	3.61E-01	6.46E-01	9.69E-02	5.46E-01	8.05E-01	4.62E-01	7.18E-01
