Sample Names	MutationType	ID83A	ID83B
TCGA-4H-AAAK-01	4:Del:R:1	0.0	1.0
TCGA-4H-AAAK-01	4:Del:R:2	0.0	1.0
TCGA-4H-AAAK-01	4:Del:R:3	0.0	1.0
TCGA-4H-AAAK-01	4:Del:R:4	0.0	1.0
TCGA-4H-AAAK-01	4:Del:R:5	0.0	1.0
TCGA-4H-AAAK-01	5:Del:R:0	0.0	1.0
TCGA-4H-AAAK-01	5:Del:R:1	0.0	1.0
TCGA-4H-AAAK-01	5:Del:R:2	0.0	1.0
TCGA-4H-AAAK-01	5:Del:R:3	0.0	1.0
TCGA-4H-AAAK-01	5:Del:R:4	0.0	1.0
TCGA-4H-AAAK-01	5:Del:R:5	0.0	1.0
TCGA-4H-AAAK-01	2:Ins:R:0	0.0	1.0
TCGA-4H-AAAK-01	2:Ins:R:1	0.0	1.0
TCGA-4H-AAAK-01	2:Ins:R:2	0.0	1.0
TCGA-4H-AAAK-01	2:Ins:R:3	0.0	1.0
TCGA-4H-AAAK-01	2:Ins:R:4	0.0	1.0
TCGA-4H-AAAK-01	2:Ins:R:5	0.0	1.0
TCGA-4H-AAAK-01	3:Ins:R:0	0.0	1.0
TCGA-4H-AAAK-01	3:Ins:R:1	0.0	1.0
TCGA-4H-AAAK-01	3:Ins:R:2	0.0	1.0
TCGA-4H-AAAK-01	3:Ins:R:3	0.0	1.0
TCGA-4H-AAAK-01	3:Ins:R:4	0.0	1.0
TCGA-4H-AAAK-01	3:Ins:R:5	0.0	1.0
TCGA-4H-AAAK-01	4:Ins:R:0	0.0	1.0
TCGA-4H-AAAK-01	4:Ins:R:1	0.0	1.0
TCGA-4H-AAAK-01	4:Ins:R:2	0.0	1.0
TCGA-4H-AAAK-01	4:Ins:R:3	0.0	1.0
TCGA-4H-AAAK-01	4:Ins:R:4	0.0	1.0
TCGA-4H-AAAK-01	4:Ins:R:5	0.0	1.0
TCGA-4H-AAAK-01	5:Ins:R:0	0.0	1.0
TCGA-4H-AAAK-01	5:Ins:R:1	0.0	1.0
TCGA-4H-AAAK-01	5:Ins:R:2	0.0	1.0
TCGA-4H-AAAK-01	5:Ins:R:3	0.0	1.0
TCGA-4H-AAAK-01	5:Ins:R:4	0.0	1.0
