Samples	ID1	ID2	ID7	ID8	ID15	ID83B	ID83C
TCGA-BH-A0DP-01	0	0	0	3	0	0	0
TCGA-BH-A0DQ-01	0	0	0	0	0	3	0
TCGA-BH-A0DT-01	0	0	0	0	0	0	4
TCGA-BH-A0DV-01	0	0	0	0	0	0	4
TCGA-BH-A0E0-01	0	0	0	0	0	0	1
TCGA-BH-A0E9-01	6	0	0	0	0	0	0
TCGA-BH-A0EA-01	0	0	0	0	0	0	1
TCGA-BH-A0EI-01	1	0	0	0	0	0	0
TCGA-BH-A0H3-01	0	0	0	0	0	0	3
TCGA-BH-A0H7-01	0	0	0	1	0	0	0
TCGA-BH-A0H9-01	0	0	0	1	0	0	0
TCGA-BH-A0HA-01	0	18	29	0	0	0	27
TCGA-BH-A0HI-01	0	0	0	0	0	0	3
TCGA-BH-A0HN-01	0	0	0	3	0	0	0
TCGA-BH-A0HP-01	0	0	0	0	0	2	0
TCGA-BH-A0RX-01	0	0	0	3	0	0	0
TCGA-BH-A0W3-01	0	0	1	0	0	0	0
TCGA-BH-A0W4-01	0	0	0	0	0	0	3
TCGA-BH-A0W5-01	0	0	0	0	2	0	0
TCGA-BH-A0WA-01	0	0	0	7	0	0	0
TCGA-BH-A18F-01	0	0	0	0	0	0	4
TCGA-BH-A18G-01	24	80	126	0	0	0	0
TCGA-BH-A18H-01	0	0	0	2	0	0	0
TCGA-BH-A18I-01	1	0	0	3	0	2	0
TCGA-BH-A18J-01	0	0	0	1	0	0	0
TCGA-BH-A18K-01	0	0	0	0	0	0	4
TCGA-BH-A18L-01	1	0	0	0	0	0	0
TCGA-BH-A18N-01	0	0	0	0	3	0	0
TCGA-BH-A18P-01	0	0	0	0	0	6	0
TCGA-BH-A18Q-01	0	0	0	11	0	0	0
TCGA-BH-A18R-01	0	0	0	1	0	2	0
TCGA-BH-A18S-01	0	0	0	1	0	0	0
TCGA-BH-A18T-01	0	0	0	1	0	2	0
TCGA-BH-A18U-01	0	0	0	3	0	0	4
TCGA-BH-A18V-01	0	0	0	8	0	0	0
TCGA-BH-A1EO-01	0	0	0	0	0	3	0
TCGA-BH-A1EU-01	0	0	0	0	0	3	0
TCGA-BH-A1EV-01	0	0	0	0	0	0	1
TCGA-BH-A1EY-01	0	0	0	2	0	0	0
TCGA-BH-A1F0-01	0	0	0	0	1	0	0
TCGA-BH-A1F2-01	1	0	0	2	0	0	0
TCGA-BH-A1F5-01	0	0	0	0	0	1	0
TCGA-BH-A1F6-01	0	0	0	4	0	1	0
TCGA-BH-A1F8-01	2	0	0	2	0	0	0
TCGA-BH-A1FC-01	0	0	0	0	0	4	0
TCGA-BH-A1FE-01	0	0	0	0	0	0	2
TCGA-BH-A1FG-01	0	0	0	1	0	0	2
TCGA-BH-A1FH-01	0	0	0	0	0	1	3
TCGA-BH-A1FJ-01	0	0	0	0	0	0	2
TCGA-BH-A1FL-01	3	0	0	0	0	0	0
TCGA-BH-A1FM-01	0	0	0	0	0	0	2
TCGA-BH-A1FN-01	0	0	0	9	0	0	0
TCGA-BH-A201-01	0	0	0	1	0	0	0
TCGA-BH-A202-01	0	0	0	3	0	0	0
TCGA-BH-A203-01	0	0	0	2	0	0	0
TCGA-BH-A204-01	0	0	0	2	0	0	0
TCGA-BH-A208-01	0	0	0	0	0	0	2
TCGA-BH-A209-01	0	0	0	0	0	1	3
TCGA-BH-A28Q-01	0	0	0	2	0	0	0
TCGA-BH-A42U-01	0	0	0	0	0	0	1
TCGA-BH-A42V-01	0	0	0	3	0	0	0
TCGA-BH-A5IZ-01	0	0	0	8	0	0	0
TCGA-BH-A5J0-01	2	0	0	3	0	0	0
TCGA-BH-A6R8-01	0	1	0	1	0	0	0
TCGA-BH-A6R9-01	0	0	0	1	0	0	0
TCGA-BH-A8FY-01	3	0	0	0	0	0	0
TCGA-BH-A8FZ-01	0	0	0	0	2	0	0
TCGA-BH-AB28-01	2	0	0	0	0	0	6
TCGA-C8-A12K-01	0	0	0	0	0	2	5
TCGA-C8-A12L-01	0	0	0	12	0	0	0
TCGA-C8-A12M-01	0	0	0	0	0	0	4
TCGA-C8-A12N-01	0	0	0	0	0	1	2
TCGA-C8-A12O-01	0	0	0	0	0	0	3
TCGA-C8-A12P-01	0	0	0	4	0	0	3
TCGA-C8-A12Q-01	0	0	0	0	0	0	5
TCGA-C8-A12U-01	0	0	0	0	0	0	3
TCGA-C8-A12V-01	0	0	0	1	0	0	0
TCGA-C8-A12W-01	0	0	0	1	0	1	0
TCGA-C8-A12X-01	2	0	0	0	0	0	0
TCGA-C8-A12Y-01	0	0	0	2	0	0	0
TCGA-C8-A12Z-01	0	0	1	0	0	0	0
TCGA-C8-A130-01	1	0	0	2	0	0	0
TCGA-C8-A131-01	2	0	0	0	0	6	0
TCGA-C8-A132-01	0	0	0	0	0	0	2
TCGA-C8-A133-01	0	0	0	0	2	0	0
TCGA-C8-A134-01	0	0	0	6	0	0	0
TCGA-C8-A135-01	1	0	0	0	0	5	0
TCGA-C8-A137-01	0	0	0	0	0	1	0
TCGA-C8-A138-01	0	0	0	0	0	0	3
TCGA-C8-A1HE-01	0	0	0	1	0	0	0
TCGA-C8-A1HF-01	0	0	0	0	0	1	1
TCGA-C8-A1HG-01	0	0	0	0	0	0	4
TCGA-C8-A1HI-01	0	0	0	0	0	0	3
TCGA-C8-A1HJ-01	0	0	0	6	0	0	3
TCGA-C8-A1HK-01	0	0	0	0	0	0	3
TCGA-C8-A1HL-01	0	0	0	1	0	0	0
TCGA-C8-A1HM-01	0	0	0	3	0	0	0
TCGA-C8-A1HN-01	0	0	0	0	0	0	5
TCGA-C8-A1HO-01	0	0	0	0	0	0	2
TCGA-C8-A26V-01	0	0	0	0	0	0	1
TCGA-C8-A26W-01	0	0	0	0	0	1	0
TCGA-C8-A26X-01	0	0	0	0	0	0	9
TCGA-C8-A26Y-01	0	0	0	0	0	0	24
TCGA-C8-A26Z-01	0	0	0	0	0	0	3
TCGA-C8-A273-01	0	0	2	0	0	0	0
TCGA-C8-A274-01	0	0	0	0	0	7	0
TCGA-C8-A275-01	0	0	0	0	1	0	0
TCGA-C8-A278-01	0	0	0	0	0	1	0
TCGA-C8-A27B-01	0	0	0	6	0	0	0
TCGA-C8-A3M7-01	0	0	0	0	0	2	0
TCGA-C8-A3M8-01	0	0	0	0	0	0	6
TCGA-C8-A8HP-01	0	0	0	0	0	2	0
TCGA-C8-A8HQ-01	0	0	0	2	0	2	0
TCGA-C8-A8HR-01	0	0	2	0	0	0	0
TCGA-C8-A9FZ-01	0	1	0	2	0	0	0
TCGA-D8-A13Y-01	0	0	0	9	0	0	0
TCGA-D8-A13Z-01	0	0	0	0	0	0	4
TCGA-D8-A140-01	0	3	0	0	0	0	7
TCGA-D8-A141-01	0	0	0	0	2	0	0
TCGA-D8-A142-01	0	0	0	0	0	5	0
TCGA-D8-A143-01	0	3	0	5	0	0	0
TCGA-D8-A145-01	1	0	0	0	0	3	0
TCGA-D8-A146-01	0	0	0	1	0	2	0
TCGA-D8-A147-01	0	0	0	9	0	2	0
TCGA-D8-A1J8-01	0	40	31	0	0	0	0
