Samples	ID83A	ID83B
TCGA-BH-A0BM-01	1.33E-01	1.33E-01
TCGA-BH-A0BO-01	1.33E-01	1.24E-01
TCGA-BH-A0BP-01	1.42E-01	1.42E-01
TCGA-BH-A0BS-01	1.21E-01	1.21E-01
TCGA-BH-A0BT-01	0.00E+00	0.00E+00
TCGA-BH-A0BV-01	0.00E+00	0.00E+00
TCGA-BH-A0BW-01	3.32E-01	3.32E-01
TCGA-BH-A0BZ-01	3.19E-01	3.19E-01
TCGA-BH-A0C0-01	0.00E+00	0.00E+00
TCGA-BH-A0C1-01	2.02E-01	2.02E-01
TCGA-BH-A0C3-01	0.00E+00	0.00E+00
TCGA-BH-A0C7-01	1.35E-01	1.35E-01
TCGA-BH-A0DE-01	7.43E-02	7.43E-02
TCGA-BH-A0DG-01	0.00E+00	0.00E+00
TCGA-BH-A0DH-01	2.56E-01	2.51E-01
TCGA-BH-A0DI-01	0.00E+00	0.00E+00
TCGA-BH-A0DK-01	0.00E+00	0.00E+00
TCGA-BH-A0DL-01	0.00E+00	0.00E+00
TCGA-BH-A0DO-01	1.84E-01	1.84E-01
TCGA-BH-A0DP-01	0.00E+00	0.00E+00
TCGA-BH-A0DQ-01	1.62E-01	1.62E-01
TCGA-BH-A0DT-01	0.00E+00	0.00E+00
TCGA-BH-A0DV-01	1.87E-01	1.87E-01
TCGA-BH-A0E0-01	0.00E+00	0.00E+00
TCGA-BH-A0E9-01	2.09E-01	2.09E-01
TCGA-BH-A0EA-01	0.00E+00	0.00E+00
TCGA-BH-A0EI-01	0.00E+00	0.00E+00
TCGA-BH-A0H3-01	0.00E+00	0.00E+00
TCGA-BH-A0H7-01	0.00E+00	0.00E+00
TCGA-BH-A0H9-01	0.00E+00	0.00E+00
TCGA-BH-A0HA-01	1.79E+00	1.79E+00
TCGA-BH-A0HI-01	0.00E+00	0.00E+00
TCGA-BH-A0HN-01	0.00E+00	0.00E+00
TCGA-BH-A0HP-01	1.49E-01	1.49E-01
TCGA-BH-A0RX-01	0.00E+00	0.00E+00
TCGA-BH-A0W3-01	8.75E-02	8.75E-02
TCGA-BH-A0W4-01	1.55E-01	1.55E-01
TCGA-BH-A0W5-01	1.35E-01	1.35E-01
TCGA-BH-A0WA-01	1.48E-01	1.48E-01
TCGA-BH-A18F-01	0.00E+00	0.00E+00
TCGA-BH-A18G-01	4.63E+00	4.63E+00
TCGA-BH-A18H-01	0.00E+00	0.00E+00
TCGA-BH-A18I-01	2.78E-01	2.78E-01
TCGA-BH-A18J-01	0.00E+00	0.00E+00
TCGA-BH-A18K-01	0.00E+00	0.00E+00
TCGA-BH-A18L-01	0.00E+00	0.00E+00
TCGA-BH-A18N-01	1.33E-01	1.33E-01
TCGA-BH-A18P-01	2.86E-01	2.86E-01
TCGA-BH-A18Q-01	1.88E-01	1.88E-01
TCGA-BH-A18R-01	1.48E-01	1.41E-01
TCGA-BH-A18S-01	0.00E+00	0.00E+00
TCGA-BH-A18T-01	1.51E-01	1.51E-01
TCGA-BH-A18U-01	2.56E-01	2.56E-01
TCGA-BH-A18V-01	1.01E-01	1.01E-01
TCGA-BH-A1EO-01	1.73E-01	1.69E-01
TCGA-BH-A1EU-01	1.82E-01	1.82E-01
TCGA-BH-A1EV-01	0.00E+00	0.00E+00
TCGA-BH-A1EY-01	0.00E+00	0.00E+00
TCGA-BH-A1F0-01	0.00E+00	0.00E+00
TCGA-BH-A1F2-01	0.00E+00	0.00E+00
TCGA-BH-A1F5-01	0.00E+00	0.00E+00
TCGA-BH-A1F6-01	8.42E-02	8.42E-02
TCGA-BH-A1F8-01	0.00E+00	0.00E+00
TCGA-BH-A1FC-01	1.96E-01	1.96E-01
TCGA-BH-A1FE-01	0.00E+00	0.00E+00
TCGA-BH-A1FG-01	0.00E+00	0.00E+00
TCGA-BH-A1FH-01	1.12E-01	1.12E-01
TCGA-BH-A1FJ-01	0.00E+00	0.00E+00
TCGA-BH-A1FL-01	1.18E-01	1.18E-01
TCGA-BH-A1FM-01	0.00E+00	0.00E+00
TCGA-BH-A1FN-01	2.05E-01	2.05E-01
TCGA-BH-A201-01	0.00E+00	0.00E+00
TCGA-BH-A202-01	0.00E+00	0.00E+00
TCGA-BH-A203-01	1.12E-01	1.12E-01
TCGA-BH-A204-01	0.00E+00	0.00E+00
TCGA-BH-A208-01	1.17E-01	1.17E-01
TCGA-BH-A209-01	1.09E-01	1.09E-01
TCGA-BH-A28Q-01	0.00E+00	0.00E+00
TCGA-BH-A42U-01	0.00E+00	0.00E+00
TCGA-BH-A42V-01	0.00E+00	0.00E+00
TCGA-BH-A5IZ-01	7.85E-02	7.85E-02
TCGA-BH-A5J0-01	1.62E-01	1.62E-01
TCGA-BH-A6R8-01	1.40E-01	1.40E-01
TCGA-BH-A6R9-01	0.00E+00	0.00E+00
TCGA-BH-A8FY-01	1.52E-01	1.52E-01
TCGA-BH-A8FZ-01	1.02E-01	1.02E-01
TCGA-BH-AB28-01	0.00E+00	0.00E+00
TCGA-C8-A12K-01	2.44E-01	2.44E-01
TCGA-C8-A12L-01	2.87E-01	2.87E-01
TCGA-C8-A12M-01	0.00E+00	0.00E+00
TCGA-C8-A12N-01	2.02E-01	2.02E-01
TCGA-C8-A12O-01	1.52E-01	1.52E-01
TCGA-C8-A12P-01	1.84E-01	1.84E-01
TCGA-C8-A12Q-01	0.00E+00	0.00E+00
TCGA-C8-A12U-01	0.00E+00	0.00E+00
TCGA-C8-A12V-01	0.00E+00	0.00E+00
TCGA-C8-A12W-01	1.42E-01	1.45E-01
TCGA-C8-A12X-01	0.00E+00	0.00E+00
TCGA-C8-A12Y-01	0.00E+00	0.00E+00
TCGA-C8-A12Z-01	0.00E+00	0.00E+00
