Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
TCGA-A7-A3RF-01	1.51E-01	6.67E-02	0.00E+00	7.35E-02	0.00E+00	4.63E-02	1.01E-01	1.48E-01	0.00E+00	1.17E-01	7.35E-02	7.35E-02	1.13E-01
TCGA-A7-A425-01	0.00E+00	0.00E+00	3.33E-02	1.59E-01	0.00E+00	4.63E-02	0.00E+00	3.33E-02	1.39E-01	3.33E-02	1.46E-01	1.01E-01	6.31E-02
TCGA-A7-A4SC-01	1.79E-01	0.00E+00	0.00E+00	7.35E-02	3.33E-02	4.63E-02	0.00E+00	2.00E-01	0.00E+00	0.00E+00	1.62E-01	0.00E+00	0.00E+00
TCGA-A7-A4SD-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.91E-01	6.67E-02	0.00E+00	1.17E-01	1.49E-01	1.40E-01	1.33E-01	0.00E+00
TCGA-A7-A4SE-01	0.00E+00	0.00E+00	0.00E+00	2.02E-01	2.17E-01	0.00E+00	0.00E+00	1.62E-01	3.66E-01	1.11E-01	2.04E-01	1.78E-01	1.53E-01
TCGA-A7-A56D-01	0.00E+00	6.67E-02	1.17E-01	8.42E-02	1.62E-01	6.67E-02	1.00E-01	3.33E-02	1.49E-01	2.59E-01	2.34E-01	1.04E-01	2.17E-01
TCGA-A7-A5ZV-01	7.35E-02	1.19E-01	7.93E-02	1.69E-01	3.33E-02	1.68E-01	0.00E+00	3.33E-02	4.00E-01	2.78E-01	4.18E-01	1.62E-01	7.35E-02
TCGA-A7-A5ZW-01	4.63E-02	0.00E+00	6.67E-02	0.00E+00	0.00E+00	9.26E-02	0.00E+00	1.21E-01	7.93E-02	8.42E-02	8.84E-02	1.17E-01	8.42E-02
TCGA-A7-A5ZX-01	3.33E-02	6.67E-02	7.35E-02	9.26E-02	0.00E+00	1.37E-01	0.00E+00	0.00E+00	7.35E-02	1.49E-01	1.42E-01	7.93E-02	1.21E-01
TCGA-A7-A6VV-01	0.00E+00	0.00E+00	0.00E+00	1.76E-01	0.00E+00	1.39E-01	0.00E+00	9.26E-02	6.92E-02	0.00E+00	9.26E-02	1.55E-01	0.00E+00
TCGA-A7-A6VW-01	1.00E-01	4.63E-02	7.93E-02	1.97E-01	0.00E+00	6.67E-02	3.33E-02	1.69E-01	9.69E-02	2.27E-01	1.38E-01	5.57E-02	1.41E-01
TCGA-A7-A6VX-01	1.00E-01	6.67E-02	1.49E-01	1.18E-01	2.07E-01	9.26E-02	2.73E-01	1.52E-01	4.74E-01	1.84E-01	3.74E-01	4.86E-01	2.91E-01
