Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
TCGA-AR-A1AI-01	2	5	16	7	4	0	11	10	14	0	9	11	0	0
TCGA-AR-A1AJ-01	13	8	0	7	5	0	5	15	0	0	0	0	0	0
TCGA-AR-A1AK-01	11	18	0	9	9	0	8	9	0	0	6	12	0	0
TCGA-AR-A1AL-01	3	3	0	6	3	6	0	0	0	0	0	0	0	9
TCGA-AR-A1AN-01	0	1	4	7	3	0	2	14	0	0	0	0	0	0
TCGA-AR-A1AO-01	8	8	10	9	10	6	10	6	2	34	4	2	11	2
TCGA-AR-A1AP-01	3	0	9	13	3	0	6	8	0	0	9	0	0	0
TCGA-AR-A1AQ-01	1	0	2	10	2	0	0	0	9	17	0	0	0	0
TCGA-AR-A1AR-01	2	6	0	12	3	0	0	0	0	0	0	16	9	15
TCGA-AR-A1AS-01	9	0	3	3	7	0	4	0	15	0	0	0	0	0
TCGA-AR-A1AT-01	1	2	0	8	0	0	0	0	0	9	0	12	0	0
TCGA-AR-A1AU-01	0	0	2	5	3	4	0	8	0	0	4	0	0	0
TCGA-AR-A1AV-01	0	0	0	16	6	7	4	9	0	0	7	0	0	0
TCGA-AR-A1AW-01	2	0	0	8	0	0	0	0	14	0	0	0	0	17
TCGA-AR-A1AX-01	0	0	1	3	3	0	6	3	0	0	5	0	0	11
TCGA-AR-A1AY-01	5	3	4	10	7	0	3	12	11	12	5	0	0	0
TCGA-AR-A24H-01	7	13	11	0	0	0	0	22	15	39	10	0	35	0
TCGA-AR-A24K-01	0	0	0	0	0	6	5	11	0	0	0	12	0	0
TCGA-AR-A24L-01	0	4	4	4	3	0	0	0	0	13	0	25	0	0
TCGA-AR-A24M-01	1	0	0	4	0	7	0	4	0	0	0	0	9	0
TCGA-AR-A24N-01	5	0	0	12	0	0	0	6	7	0	10	7	0	0
TCGA-AR-A24O-01	0	1	0	4	0	0	0	7	0	0	3	0	0	7
TCGA-AR-A24P-01	0	0	0	0	0	0	6	7	4	0	2	0	0	0
