MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
1:Del:T:4	2.29E-02	5.18E-06	7.07E-02	1.84E-02	2.34E-02	1.32E-06	8.39E-03	8.00E-03	8.83E-07	7.73E-07	2.30E-06	1.15E-06	1.09E-03
1:Del:T:5	1.11E-02	1.73E-02	2.30E-02	1.14E-02	9.38E-03	8.02E-07	1.45E-02	4.19E-06	2.49E-07	1.57E-06	3.41E-07	6.92E-03	2.60E-06
1:Ins:C:0	2.17E-03	2.72E-03	1.42E-03	1.76E-06	5.44E-03	1.94E-06	8.11E-08	1.46E-06	9.13E-04	1.65E-03	1.47E-03	4.53E-03	2.72E-03
1:Ins:C:1	7.89E-03	3.93E-06	5.10E-03	2.10E-06	1.56E-06	2.03E-06	1.29E-08	1.66E-06	3.13E-03	1.48E-02	5.35E-03	1.94E-02	7.01E-03
1:Ins:C:2	5.94E-04	1.33E-06	6.35E-03	8.10E-04	2.06E-06	1.78E-06	1.25E-03	4.61E-03	2.30E-03	5.89E-03	2.56E-03	3.92E-03	7.57E-03
1:Ins:C:3	1.56E-05	5.98E-03	2.95E-03	6.05E-03	6.57E-03	2.02E-06	6.21E-04	3.66E-03	1.08E-03	7.39E-03	1.44E-03	1.62E-03	6.36E-03
1:Ins:C:4	5.96E-03	2.92E-06	7.05E-03	9.07E-03	2.27E-06	3.47E-03	5.48E-04	9.44E-03	1.48E-03	1.68E-02	4.02E-03	8.12E-03	1.20E-02
1:Ins:C:5	1.24E-06	8.38E-03	1.45E-06	2.03E-06	2.68E-06	2.56E-06	7.29E-03	1.71E-02	1.35E-06	8.66E-03	4.24E-03	1.28E-02	2.78E-02
1:Ins:T:0	5.68E-07	1.44E-02	3.44E-03	1.47E-06	2.84E-06	1.05E-03	4.58E-04	1.32E-06	1.68E-03	5.89E-03	4.14E-03	4.80E-03	1.40E-03
1:Ins:T:1	7.07E-07	4.81E-06	4.22E-02	2.31E-02	1.75E-06	1.08E-02	8.15E-08	5.32E-07	6.76E-03	3.25E-02	4.67E-03	1.96E-02	3.59E-02
1:Ins:T:2	1.12E-06	1.69E-06	1.09E-02	9.06E-03	1.00E-06	4.67E-03	2.46E-03	1.56E-06	1.70E-03	8.18E-03	4.38E-03	4.54E-03	1.15E-02
