Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-BH-A0DO-01	4	5	11	10	0	0
TCGA-BH-A0DP-01	0	6	3	10	0	0
TCGA-BH-A0DQ-01	0	0	16	0	19	0
TCGA-BH-A0DT-01	0	3	7	5	0	0
TCGA-BH-A0DV-01	0	4	0	0	11	0
TCGA-BH-A0DX-01	21	39	17	0	0	0
TCGA-BH-A0DZ-01	120	97	0	0	0	0
TCGA-BH-A0E0-01	3	0	21	0	0	0
TCGA-BH-A0E1-01	5	3	11	0	0	0
TCGA-BH-A0E9-01	0	0	17	11	0	0
TCGA-BH-A0EA-01	0	4	10	0	18	0
TCGA-BH-A0EI-01	0	2	14	0	0	8
TCGA-BH-A0H3-01	0	0	4	0	13	0
TCGA-BH-A0H5-01	76	93	0	0	0	0
TCGA-BH-A0H7-01	5	1	6	0	0	5
TCGA-BH-A0H9-01	0	5	0	0	13	5
TCGA-BH-A0HA-01	19	25	132	0	0	206
TCGA-BH-A0HI-01	0	8	11	0	16	0
TCGA-BH-A0HK-01	11	35	17	0	0	0
TCGA-BH-A0HN-01	0	7	17	0	10	0
TCGA-BH-A0HP-01	178	179	0	0	0	0
TCGA-BH-A0RX-01	0	6	43	0	0	0
TCGA-BH-A0W3-01	2	2	6	13	0	0
TCGA-BH-A0W4-01	3	9	9	0	18	0
TCGA-BH-A0W5-01	0	0	13	0	11	5
TCGA-BH-A0W7-01	137	124	0	0	0	0
TCGA-BH-A0WA-01	7	16	7	65	3	15
TCGA-BH-A18F-01	0	24	17	0	26	0
TCGA-BH-A18G-01	0	0	531	0	0	1137
TCGA-BH-A18H-01	5	10	4	4	18	13
TCGA-BH-A18I-01	2	6	23	0	0	0
TCGA-BH-A18J-01	38	56	0	0	0	17
TCGA-BH-A18K-01	15	17	7	20	2	7
TCGA-BH-A18L-01	4	1	29	9	13	9
TCGA-BH-A18M-01	4	3	11	0	0	0
TCGA-BH-A18N-01	0	0	24	0	0	19
TCGA-BH-A18P-01	197	241	0	0	0	0
TCGA-BH-A18Q-01	8	1	1	36	54	7
TCGA-BH-A18R-01	2	6	2	18	10	4
TCGA-BH-A18S-01	4	0	5	16	0	12
TCGA-BH-A18T-01	13	6	10	60	0	13
TCGA-BH-A18U-01	35	60	28	25	10	20
TCGA-BH-A18V-01	80	30	0	140	0	0
TCGA-BH-A1EO-01	0	9	41	0	0	0
TCGA-BH-A1ET-01	0	0	11	15	0	7
TCGA-BH-A1EU-01	0	2	5	0	20	7
TCGA-BH-A1EV-01	40	39	29	21	0	0
TCGA-BH-A1EW-01	0	7	3	0	11	0
TCGA-BH-A1EX-01	0	3	13	0	13	6
TCGA-BH-A1EY-01	12	6	15	9	5	8
TCGA-BH-A1F0-01	20	3	14	28	28	2
TCGA-BH-A1F2-01	9	12	28	16	1	5
TCGA-BH-A1F5-01	0	7	15	0	22	0
TCGA-BH-A1F6-01	4	4	17	19	0	9
TCGA-BH-A1F8-01	57	92	13	4	22	4
TCGA-BH-A1FC-01	24	17	26	29	17	17
TCGA-BH-A1FE-01	1	6	3	1	14	1
TCGA-BH-A1FG-01	1	1	8	1	5	5
TCGA-BH-A1FH-01	0	5	14	0	14	0
TCGA-BH-A1FJ-01	0	4	19	0	22	0
TCGA-BH-A1FL-01	0	4	13	0	9	0
TCGA-BH-A1FM-01	10	15	25	12	0	0
TCGA-BH-A1FN-01	51	34	4	43	4	10
TCGA-BH-A1FR-01	2	0	7	8	0	0
TCGA-BH-A1FU-01	17	8	11	22	31	29
TCGA-BH-A201-01	0	5	3	8	0	11
TCGA-BH-A202-01	1	3	9	9	2	4
TCGA-BH-A203-01	14	16	47	2	13	7
TCGA-BH-A204-01	4	4	13	10	16	5
TCGA-BH-A208-01	24	21	18	19	0	0
TCGA-BH-A209-01	74	45	0	0	0	0
TCGA-BH-A28Q-01	3	2	21	0	0	0
TCGA-BH-A2L8-01	307	321	0	0	0	0
TCGA-BH-A42U-01	4	15	4	0	9	0
TCGA-BH-A42V-01	19	29	7	0	0	0
TCGA-BH-A5IZ-01	6	8	15	33	26	8
TCGA-BH-A5J0-01	19	59	24	0	0	0
TCGA-BH-A6R8-01	2	5	18	0	12	0
TCGA-BH-A6R9-01	0	0	8	17	0	0
TCGA-BH-A8FY-01	5	5	7	28	4	7
TCGA-BH-A8FZ-01	7	9	12	41	0	22
TCGA-BH-A8G0-01	0	2	10	0	0	5
TCGA-BH-AB28-01	0	8	20	0	0	15
TCGA-C8-A12K-01	54	12	9	65	16	17
TCGA-C8-A12L-01	5	2	14	37	27	4
TCGA-C8-A12M-01	2	3	33	22	12	10
TCGA-C8-A12N-01	5	0	15	0	0	7
TCGA-C8-A12O-01	0	5	29	0	15	0
TCGA-C8-A12P-01	65	63	26	10	24	14
TCGA-C8-A12Q-01	45	53	12	0	29	0
TCGA-C8-A12T-01	106	80	13	4	7	4
TCGA-C8-A12U-01	7	4	26	17	6	1
TCGA-C8-A12V-01	4	2	3	15	15	13
TCGA-C8-A12W-01	5	2	51	5	12	2
TCGA-C8-A12X-01	3	2	33	17	2	8
TCGA-C8-A12Y-01	0	0	25	0	0	21
TCGA-C8-A12Z-01	13	13	18	10	2	5
TCGA-C8-A130-01	6	5	43	0	0	0
TCGA-C8-A131-01	0	14	15	0	35	10
TCGA-C8-A132-01	26	9	11	12	22	4
