Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-B6-A2IU-01	0	31	0	23	0
TCGA-B6-A401-01	0	0	11	17	0
TCGA-B6-A409-01	4	5	18	24	5
TCGA-B6-A40B-01	6	23	16	12	9
TCGA-B6-A40C-01	2	5	12	31	4
TCGA-BH-A0AU-01	3	0	8	12	0
TCGA-BH-A0AV-01	13	6	48	4	16
TCGA-BH-A0AY-01	0	12	15	19	0
TCGA-BH-A0AZ-01	11	17	33	0	9
TCGA-BH-A0B0-01	27	72	0	0	0
TCGA-BH-A0B3-01	2	2	7	7	0
TCGA-BH-A0B6-01	627	663	0	0	0
TCGA-BH-A0B7-01	11	6	0	25	0
TCGA-BH-A0B8-01	0	12	17	5	0
TCGA-BH-A0BA-01	4	7	4	7	7
TCGA-BH-A0BC-01	5	15	4	18	3
TCGA-BH-A0BF-01	7	0	9	12	5
TCGA-BH-A0BG-01	5	5	22	7	6
TCGA-BH-A0BJ-01	0	0	11	6	0
TCGA-BH-A0BL-01	0	0	48	21	0
TCGA-BH-A0BM-01	1	5	9	3	1
TCGA-BH-A0BO-01	7	0	0	8	16
TCGA-BH-A0BP-01	39	30	69	57	1
TCGA-BH-A0BQ-01	0	5	10	15	0
TCGA-BH-A0BS-01	0	0	14	9	0
TCGA-BH-A0BT-01	1	11	9	19	8
TCGA-BH-A0BV-01	2	7	6	8	1
TCGA-BH-A0BW-01	9	14	41	13	26
TCGA-BH-A0BZ-01	34	11	190	23	38
TCGA-BH-A0C0-01	1	8	20	4	15
TCGA-BH-A0C1-01	1	12	3	20	14
TCGA-BH-A0C3-01	0	0	7	5	6
TCGA-BH-A0C7-01	4	1	15	27	11
TCGA-BH-A0DD-01	4	6	0	20	7
TCGA-BH-A0DE-01	0	7	18	8	0
TCGA-BH-A0DG-01	11	11	12	6	7
TCGA-BH-A0DH-01	5	19	0	28	0
TCGA-BH-A0DI-01	16	12	13	16	5
TCGA-BH-A0DK-01	4	5	26	12	6
TCGA-BH-A0DL-01	9	17	3	21	15
TCGA-BH-A0DO-01	4	5	7	9	5
TCGA-BH-A0DP-01	0	9	7	3	0
TCGA-BH-A0DQ-01	0	0	14	21	0
TCGA-BH-A0DT-01	0	6	0	9	0
TCGA-BH-A0DV-01	0	7	8	0	0
TCGA-BH-A0DX-01	22	41	0	14	0
TCGA-BH-A0DZ-01	126	91	0	0	0
TCGA-BH-A0E0-01	2	0	0	22	0
TCGA-BH-A0E1-01	7	0	0	12	0
TCGA-BH-A0E9-01	0	0	8	20	0
TCGA-BH-A0EA-01	2	7	5	11	7
TCGA-BH-A0EI-01	0	3	0	13	8
TCGA-BH-A0H3-01	0	3	6	8	0
TCGA-BH-A0H5-01	76	93	0	0	0
TCGA-BH-A0H7-01	5	0	0	6	6
TCGA-BH-A0H9-01	0	7	10	0	6
TCGA-BH-A0HA-01	22	22	0	118	220
TCGA-BH-A0HI-01	2	10	6	16	1
TCGA-BH-A0HK-01	12	37	0	14	0
