Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-C8-A12U-01	5	6	27	0	23	0	0
TCGA-C8-A12V-01	0	5	0	0	0	12	35
TCGA-C8-A12W-01	0	5	43	0	0	0	29
TCGA-C8-A12X-01	0	0	33	32	0	0	0
TCGA-C8-A12Y-01	0	0	27	0	0	19	0
TCGA-C8-A12Z-01	11	11	16	17	2	3	1
TCGA-C8-A130-01	4	5	29	0	0	0	16
TCGA-C8-A131-01	9	0	15	39	0	11	0
TCGA-C8-A132-01	10	25	0	0	0	0	49
TCGA-C8-A133-01	5	0	0	12	0	5	11
TCGA-C8-A134-01	0	8	0	0	61	12	36
TCGA-C8-A135-01	4	7	37	0	0	11	18
TCGA-C8-A137-01	11	12	10	29	0	0	0
TCGA-C8-A138-01	0	0	13	25	0	0	14
TCGA-C8-A1HE-01	24	10	10	0	10	0	0
TCGA-C8-A1HF-01	8	6	7	8	3	4	3
TCGA-C8-A1HG-01	5	0	32	22	0	10	0
TCGA-C8-A1HI-01	7	9	13	0	0	0	43
TCGA-C8-A1HJ-01	0	14	13	0	77	20	0
TCGA-C8-A1HK-01	7	26	13	5	13	5	4
TCGA-C8-A1HL-01	0	0	11	7	13	6	0
TCGA-C8-A1HM-01	116	230	0	102	0	0	0
TCGA-C8-A1HN-01	5	2	20	3	11	5	24
TCGA-C8-A1HO-01	10	4	7	1	7	3	17
TCGA-C8-A26V-01	23	38	17	18	0	0	0
TCGA-C8-A26W-01	17	11	8	33	0	0	0
TCGA-C8-A26X-01	0	0	26	29	20	0	0
TCGA-C8-A26Y-01	378	397	0	141	0	0	0
TCGA-C8-A26Z-01	0	0	21	18	10	0	0
TCGA-C8-A273-01	0	2	6	0	0	0	16
TCGA-C8-A274-01	149	109	23	0	0	0	0
TCGA-C8-A275-01	32	52	0	58	0	0	0
TCGA-C8-A278-01	8	8	10	0	0	0	27
TCGA-C8-A27A-01	7	3	10	20	0	0	0
TCGA-C8-A27B-01	9	74	10	0	69	0	0
TCGA-C8-A3M7-01	102	35	23	61	0	0	0
TCGA-C8-A3M8-01	5	8	13	1	11	11	13
TCGA-C8-A8HP-01	105	104	15	49	0	0	0
TCGA-C8-A8HQ-01	182	153	37	0	0	0	0
