Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-BH-A0HA-01	19	25	132	0	0	206
TCGA-BH-A0HI-01	2	7	11	0	15	0
TCGA-BH-A0HK-01	10	30	15	7	0	1
TCGA-BH-A0HN-01	1	6	17	1	9	0
TCGA-BH-A0HP-01	174	175	0	0	0	8
TCGA-BH-A0RX-01	2	5	38	2	0	2
TCGA-BH-A0W3-01	2	2	5	13	0	1
TCGA-BH-A0W4-01	3	9	8	0	16	3
TCGA-BH-A0W5-01	1	0	13	2	8	5
TCGA-BH-A0W7-01	134	121	0	0	0	6
TCGA-BH-A0WA-01	7	16	7	65	3	15
TCGA-BH-A18F-01	1	23	17	0	26	0
TCGA-BH-A18G-01	10	8	506	59	0	1085
TCGA-BH-A18H-01	5	10	4	4	18	13
TCGA-BH-A18I-01	2	6	22	0	1	0
TCGA-BH-A18J-01	37	56	0	2	0	16
TCGA-BH-A18K-01	15	17	7	20	2	7
TCGA-BH-A18L-01	4	1	29	9	13	9
TCGA-BH-A18M-01	3	3	9	2	0	1
TCGA-BH-A18N-01	2	0	18	2	7	14
TCGA-BH-A18P-01	187	227	17	0	0	7
TCGA-BH-A18Q-01	8	1	1	36	54	7
TCGA-BH-A18R-01	2	6	2	18	10	4
TCGA-BH-A18S-01	3	0	3	9	10	12
TCGA-BH-A18T-01	13	6	10	60	0	13
TCGA-BH-A18U-01	35	60	28	25	10	20
TCGA-BH-A18V-01	76	28	0	117	14	15
TCGA-BH-A1EO-01	0	8	33	9	0	0
TCGA-BH-A1ET-01	0	1	10	11	4	7
TCGA-BH-A1EU-01	1	2	5	0	19	7
TCGA-BH-A1EV-01	39	38	27	18	0	7
TCGA-BH-A1EW-01	0	6	3	4	5	3
TCGA-BH-A1EX-01	0	2	13	5	9	6
TCGA-BH-A1EY-01	12	6	15	9	5	8
TCGA-BH-A1F0-01	20	3	14	28	28	2
TCGA-BH-A1F2-01	9	12	28	16	1	5
TCGA-BH-A1F5-01	0	7	15	3	19	0
TCGA-BH-A1F6-01	4	4	17	19	0	9
TCGA-BH-A1F8-01	57	92	13	4	22	4
TCGA-BH-A1FC-01	24	17	26	29	17	17
TCGA-BH-A1FE-01	1	6	3	1	14	1
TCGA-BH-A1FG-01	1	1	8	1	5	5
TCGA-BH-A1FH-01	1	5	13	4	10	0
TCGA-BH-A1FJ-01	0	4	19	0	22	0
TCGA-BH-A1FL-01	0	4	11	2	5	4
TCGA-BH-A1FM-01	10	15	25	12	0	0
TCGA-BH-A1FN-01	51	34	4	43	4	10
TCGA-BH-A1FR-01	1	1	6	6	0	3
TCGA-BH-A1FU-01	17	8	11	22	31	29
TCGA-BH-A201-01	0	4	2	5	4	12
TCGA-BH-A202-01	1	3	9	9	2	4
TCGA-BH-A203-01	14	16	47	2	13	7
TCGA-BH-A204-01	4	4	13	10	16	5
TCGA-BH-A208-01	24	20	17	15	6	0
TCGA-BH-A209-01	67	40	6	0	6	0
TCGA-BH-A28Q-01	2	2	15	4	0	3
TCGA-BH-A2L8-01	307	321	0	0	0	0
TCGA-BH-A42U-01	4	15	4	0	9	0
TCGA-BH-A42V-01	19	29	7	0	0	0
TCGA-BH-A5IZ-01	6	8	15	33	26	8
TCGA-BH-A5J0-01	16	51	17	0	9	9
TCGA-BH-A6R8-01	2	5	17	0	10	3
TCGA-BH-A6R9-01	0	1	8	16	0	0
TCGA-BH-A8FY-01	5	5	7	28	4	7
TCGA-BH-A8FZ-01	7	9	12	41	0	22
TCGA-BH-A8G0-01	0	2	9	1	0	5
TCGA-BH-AB28-01	0	7	18	6	0	12
TCGA-C8-A12K-01	54	12	9	65	16	17
TCGA-C8-A12L-01	5	2	14	37	27	4
