MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Ins:C:1	0.00000109	0.00000400	0.00000378	0.00152407	0.00000601	0.00088773	0.01670405	0.00956700	0.01950430	0.02086322	0.02356604
1:Ins:C:2	0.00000128	0.00000430	0.00000152	0.00053862	0.00000364	0.00000402	0.01194551	0.00599449	0.00945385	0.00992181	0.02146426
1:Ins:C:3	0.00427002	0.00000360	0.00003310	0.00327254	0.00000278	0.00000744	0.00603611	0.00092698	0.02655504	0.00307349	0.02007655
1:Ins:C:4	0.00004894	0.01305267	0.00000132	0.00260730	0.00000457	0.00000740	0.00669723	0.00469568	0.01807915	0.01282551	0.04262086
1:Ins:C:5	0.00000176	0.01167030	0.00000099	0.06296570	0.00000239	0.00000133	0.00476126	0.00202326	0.01967143	0.00268579	0.05433178
1:Ins:T:0	0.00000032	0.01940197	0.00000433	0.00129273	0.00000524	0.00000246	0.00814487	0.00559100	0.02161187	0.01419570	0.01380113
1:Ins:T:1	0.00000088	0.00000147	0.00000347	0.00000026	0.00000610	0.00000409	0.01643499	0.03356371	0.19045418	0.03884223	0.02191030
1:Ins:T:2	0.00000933	0.00710771	0.00000070	0.00685123	0.00000255	0.00015956	0.01658684	0.00014835	0.03278728	0.01157333	0.03252823
1:Ins:T:3	0.00000411	0.01761365	0.00000299	0.00970562	0.00000508	0.00915873	0.00001117	0.00812284	0.01943985	0.00929166	0.02251538
1:Ins:T:4	0.00000199	0.01261715	0.00000114	0.00431648	0.00042775	0.00254100	0.00096595	0.00081871	0.00234218	0.00380457	0.00693626
