Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-B6-A0IH-01	0	2	13	13	8	0	5	0
TCGA-B6-A0RH-01	6	11	8	7	1	9	0	3
TCGA-B6-A0RL-01	5	15	23	0	4	0	14	8
TCGA-B6-A0RM-01	0	7	13	0	5	0	1	10
TCGA-B6-A0RN-01	0	2	14	4	6	6	0	1
TCGA-B6-A0RO-01	1	3	0	17	8	4	6	4
TCGA-B6-A0RP-01	0	0	6	0	1	0	15	8
TCGA-B6-A0RQ-01	3	13	5	13	5	0	12	5
TCGA-B6-A0RT-01	18	2	7	0	2	18	0	25
TCGA-B6-A0RU-01	1	5	6	23	11	10	2	0
TCGA-B6-A0RV-01	25	31	9	0	0	0	0	2
TCGA-B6-A0WS-01	2	2	1	0	7	0	4	2
TCGA-B6-A0WT-01	0	0	5	10	5	0	2	0
TCGA-B6-A0WV-01	4	0	4	6	5	3	5	10
TCGA-B6-A0WW-01	4	8	10	3	3	2	9	8
TCGA-B6-A0WX-01	2	0	11	10	7	14	0	1
TCGA-B6-A0WY-01	2	5	7	7	9	5	0	0
TCGA-B6-A0WZ-01	23	52	4	0	1	7	0	8
TCGA-B6-A0X0-01	0	2	3	5	0	0	1	14
TCGA-B6-A0X1-01	13	4	0	30	13	23	7	2
TCGA-B6-A0X4-01	0	0	1	18	0	0	3	0
TCGA-B6-A0X5-01	1	3	0	27	7	0	10	0
TCGA-B6-A0X7-01	1	4	7	7	0	0	0	4
TCGA-B6-A1KN-01	3	1	9	0	7	1	48	3
TCGA-B6-A2IU-01	0	14	10	23	7	0	0	0
TCGA-B6-A401-01	1	0	8	9	2	0	3	5
TCGA-B6-A409-01	3	3	15	7	3	2	6	17
TCGA-B6-A40B-01	5	13	10	0	5	2	21	10
TCGA-B6-A40C-01	2	4	23	0	0	1	12	12
TCGA-BH-A0AU-01	2	1	7	0	2	4	0	7
TCGA-BH-A0AV-01	11	3	0	11	12	21	12	17
TCGA-BH-A0AY-01	1	5	7	20	0	1	3	9
TCGA-BH-A0AZ-01	9	12	0	0	6	16	22	5
TCGA-BH-A0B0-01	20	46	0	33	0	0	0	0
TCGA-BH-A0B3-01	1	2	6	0	0	7	0	2
TCGA-BH-A0B6-01	527	580	2	117	0	0	64	0
TCGA-BH-A0B7-01	6	3	9	20	0	4	0	0
TCGA-BH-A0B8-01	0	5	0	6	1	1	15	6
TCGA-BH-A0BA-01	3	5	7	0	5	5	0	4
TCGA-BH-A0BC-01	3	8	12	9	0	0	0	13
TCGA-BH-A0BF-01	6	0	8	5	4	4	0	6
TCGA-BH-A0BG-01	4	5	6	0	4	13	0	13
TCGA-BH-A0BJ-01	0	0	0	8	2	1	2	4
TCGA-BH-A0BL-01	3	0	12	8	0	26	0	20
TCGA-BH-A0BM-01	0	2	1	0	0	0	16	0
TCGA-BH-A0BO-01	4	0	4	10	13	0	0	0
TCGA-BH-A0BP-01	30	18	25	51	0	23	48	1
TCGA-BH-A0BQ-01	0	3	11	0	0	0	5	11
TCGA-BH-A0BS-01	0	1	4	0	2	0	0	16
TCGA-BH-A0BT-01	1	5	12	13	6	1	9	1
TCGA-BH-A0BV-01	1	3	3	3	0	0	11	3
TCGA-BH-A0BW-01	7	10	11	3	20	24	0	28
TCGA-BH-A0BZ-01	32	10	16	0	27	114	62	35
TCGA-BH-A0C0-01	1	4	4	5	13	17	0	4
TCGA-BH-A0C1-01	0	9	18	0	9	0	0	14
TCGA-BH-A0C3-01	0	0	2	5	5	3	0	3
TCGA-BH-A0C7-01	3	1	16	7	4	0	0	27
TCGA-BH-A0DD-01	3	4	14	10	6	0	0	0
