Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-BH-A1EU-01	0	0	3	11	6	0	0	14
TCGA-BH-A1EV-01	36	32	15	46	0	0	0	0
TCGA-BH-A1EW-01	0	4	0	17	0	0	0	0
TCGA-BH-A1EX-01	0	0	4	25	6	0	0	0
TCGA-BH-A1EY-01	11	4	7	25	8	0	0	0
TCGA-BH-A1F0-01	18	0	0	36	0	0	41	0
TCGA-BH-A1F2-01	8	11	25	0	0	0	27	0
TCGA-BH-A1F5-01	0	4	11	10	0	0	19	0
TCGA-BH-A1F6-01	4	4	17	0	7	21	0	0
TCGA-BH-A1F8-01	51	83	15	0	0	0	43	0
TCGA-BH-A1FC-01	22	16	23	9	14	29	8	9
TCGA-BH-A1FE-01	0	4	0	9	0	0	0	13
TCGA-BH-A1FG-01	0	0	7	8	6	0	0	0
TCGA-BH-A1FH-01	0	3	11	10	0	9	0	0
TCGA-BH-A1FJ-01	0	4	16	0	0	0	0	25
TCGA-BH-A1FL-01	0	2	8	7	0	0	9	0
TCGA-BH-A1FM-01	8	11	14	29	0	0	0	0
TCGA-BH-A1FN-01	49	37	0	0	0	0	0	60
TCGA-BH-A1FR-01	1	0	5	5	0	6	0	0
TCGA-BH-A1FU-01	15	4	3	33	26	18	16	3
TCGA-BH-A201-01	0	2	0	6	10	0	9	0
TCGA-BH-A202-01	0	3	10	0	0	15	0	0
TCGA-BH-A203-01	13	14	38	34	0	0	0	0
TCGA-BH-A204-01	4	2	9	10	4	2	5	16
TCGA-BH-A208-01	23	19	15	0	0	0	25	0
TCGA-BH-A209-01	57	34	0	28	0	0	0	0
TCGA-BH-A28Q-01	2	2	14	0	0	0	0	8
TCGA-BH-A2L8-01	299	329	0	0	0	0	0	0
TCGA-BH-A42U-01	3	13	0	16	0	0	0	0
TCGA-BH-A42V-01	19	28	8	0	0	0	0	0
TCGA-BH-A5IZ-01	6	6	15	0	0	28	41	0
TCGA-BH-A5J0-01	14	43	11	34	0	0	0	0
TCGA-BH-A6R8-01	0	3	13	21	0	0	0	0
TCGA-BH-A6R9-01	0	0	4	8	0	13	0	0
TCGA-BH-A8FY-01	5	3	3	7	5	12	15	6
TCGA-BH-A8FZ-01	6	9	14	0	20	42	0	0
TCGA-BH-A8G0-01	0	0	5	8	4	0	0	0
TCGA-BH-AB28-01	0	8	21	0	14	0	0	0
TCGA-C8-A12K-01	53	13	11	0	0	52	44	0
TCGA-C8-A12L-01	5	3	13	0	0	29	0	39
TCGA-C8-A12M-01	0	0	18	38	10	16	0	0
TCGA-C8-A12N-01	4	0	12	0	0	0	11	0
TCGA-C8-A12O-01	0	0	24	25	0	0	0	0
TCGA-C8-A12P-01	60	56	19	28	0	0	39	0
TCGA-C8-A12Q-01	41	45	0	53	0	0	0	0
TCGA-C8-A12T-01	107	86	21	0	0	0	0	0
TCGA-C8-A12U-01	6	4	25	0	0	0	26	0
TCGA-C8-A12V-01	4	0	0	11	12	0	0	25
TCGA-C8-A12W-01	0	0	45	32	0	0	0	0
TCGA-C8-A12X-01	0	0	32	0	0	0	33	0
TCGA-C8-A12Y-01	0	3	23	0	20	0	0	0
TCGA-C8-A12Z-01	12	11	16	0	0	0	22	0
TCGA-C8-A130-01	5	0	24	25	0	0	0	0
TCGA-C8-A131-01	0	8	7	32	10	17	0	0
TCGA-C8-A132-01	25	9	8	13	0	0	0	29
TCGA-C8-A133-01	0	5	0	0	0	0	19	9
TCGA-C8-A134-01	8	0	8	0	0	59	42	0
TCGA-C8-A135-01	7	5	35	0	11	0	0	19
TCGA-C8-A137-01	13	9	0	40	0	0	0	0
TCGA-C8-A138-01	0	0	13	0	0	0	39	0
TCGA-C8-A1HE-01	9	22	8	0	0	0	0	15
TCGA-C8-A1HF-01	7	10	8	0	0	0	14	0
TCGA-C8-A1HG-01	3	5	25	12	8	6	9	1
TCGA-C8-A1HI-01	9	9	22	0	0	0	0	32
TCGA-C8-A1HJ-01	14	0	11	0	22	77	0	0
TCGA-C8-A1HK-01	29	6	11	27	0	0	0	0
TCGA-C8-A1HL-01	0	0	9	0	6	0	22	0
TCGA-C8-A1HM-01	233	115	0	100	0	0	0	0
TCGA-C8-A1HN-01	0	4	24	0	0	0	42	0
