Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-BH-A0EA-01	4	7	14	7
TCGA-BH-A0EI-01	0	4	13	7
TCGA-BH-A0H3-01	0	7	10	0
TCGA-BH-A0H5-01	141	7	21	0
TCGA-BH-A0H7-01	5	0	4	8
TCGA-BH-A0H9-01	3	13	4	3
TCGA-BH-A0HA-01	29	0	93	260
TCGA-BH-A0HI-01	6	8	21	0
TCGA-BH-A0HK-01	34	0	29	0
TCGA-BH-A0HN-01	4	4	26	0
TCGA-BH-A0HP-01	332	0	25	0
TCGA-BH-A0RX-01	0	0	44	5
TCGA-BH-A0W3-01	3	12	6	2
TCGA-BH-A0W4-01	10	9	20	0
TCGA-BH-A0W5-01	0	8	13	8
TCGA-BH-A0W7-01	249	0	0	12
TCGA-BH-A0WA-01	20	66	14	13
TCGA-BH-A18F-01	19	9	39	0
TCGA-BH-A18G-01	0	30	259	1379
TCGA-BH-A18H-01	14	15	11	14
TCGA-BH-A18I-01	4	0	25	2
TCGA-BH-A18J-01	89	0	4	18
TCGA-BH-A18K-01	30	21	13	4
TCGA-BH-A18L-01	0	16	33	16
TCGA-BH-A18M-01	4	1	11	2
TCGA-BH-A18N-01	0	6	16	21
TCGA-BH-A18P-01	375	0	63	0
TCGA-BH-A18Q-01	8	81	7	11
TCGA-BH-A18R-01	8	24	7	3
TCGA-BH-A18S-01	3	18	3	13
TCGA-BH-A18T-01	16	62	6	18
TCGA-BH-A18U-01	85	26	48	19
TCGA-BH-A18V-01	96	142	0	12
TCGA-BH-A1EO-01	1	4	42	3
TCGA-BH-A1ET-01	0	13	10	10
TCGA-BH-A1EU-01	2	10	11	11
TCGA-BH-A1EV-01	68	15	41	5
TCGA-BH-A1EW-01	4	5	12	0
TCGA-BH-A1EX-01	0	9	20	6
TCGA-BH-A1EY-01	16	11	17	11
TCGA-BH-A1F0-01	20	50	21	4
TCGA-BH-A1F2-01	14	13	35	9
